,Betweenness,Degree,User-ID,Incoming_Edges,Homophily,User_Community
106837,0.0003454060030831449,1646,925072203267432448,1517,0.7375455650060754,2
107138,0.00033536843875632143,1718,928798269878231045,1583,0.7270081490104773,2
118737,0.00033155326672709625,695,1081674923355983872,616,0.31798561151079136,0
106714,0.00032882938912829544,2170,923368757803847680,1967,0.6631336405529954,2
123273,0.00032546501433090803,436,1144763150715281408,271,0.27293577981651373,0
33421,0.0003209396789482521,1486,241264953,1351,0.7113055181695828,2
139638,0.0003166008983243245,4201,1272319965199306752,4140,0.3192097119733397,0
109405,0.00031294365689425296,1579,954845161309253632,1477,0.7808739708676378,2
137017,0.00031284833872920035,1616,1260320164463009792,1549,0.28465346534653463,0
91812,0.00029698024668213405,1377,788942777539190784,1243,0.6615831517792302,2
19351,0.0002852248768016129,2186,56491860,2153,0.28316559926806956,0
144331,0.0002759261105939872,1369,1298415862052007937,1320,0.3623082542001461,0
126285,0.0002673634784021596,454,1179380870932832258,374,0.32158590308370044,0
125433,0.00025887257646891535,1006,1171196331945275392,808,0.2823061630218688,0
82899,0.00025602717030339664,1688,4710708974,1643,0.75,2
70427,0.00025302973030006336,1647,2596413645,1603,0.7741347905282332,2
148701,0.00024964954309528723,518,1320424215309250560,417,0.3841698841698842,0
149890,0.00024649329316185674,1254,1325081009822502913,1096,0.32456140350877194,0
71972,0.00024495720525379884,1442,2773918108,1342,0.7212205270457698,2
120456,0.0002355219737962901,526,1101420988296716288,388,0.311787072243346,0
20748,0.00023503350179781846,1794,64998253,1763,0.6560758082497213,2
140511,0.00023486993446721307,532,1276949737812475904,439,0.325187969924812,0
48607,0.000223555935117819,1609,553224712,1559,0.7333747669359851,2
129701,0.0002229088516330672,411,1213972523160784896,295,0.24087591240875914,0
150797,0.0002217137629154667,2017,1327740359535964161,1929,0.30589985126425384,0
148410,0.00021974021919047608,1329,1318701904524939264,1161,0.2866817155756208,0
11480,0.0002100788097837144,3561,28820184,3555,0.7264813254703735,2
113908,0.0002045724045391538,1974,1015029427284127745,1953,0.33890577507598785,0
146466,0.00020302608035889023,1128,1310794009942523904,1004,0.2916666666666667,0
129572,0.0001989317782735589,782,1213114960634531840,681,0.3618925831202046,0
104332,0.000186097495850159,1403,892188990991876096,1338,0.7655024946543122,2
122695,0.00018083718967863778,496,1135588791308230656,290,0.3185483870967742,0
130114,0.00016572280049473146,1550,1217520455013130240,1509,0.35096774193548386,0
128147,0.00014866958794699663,1000,1197653491214368768,899,0.264,0
145629,0.00014458825700285082,797,1305880588222697472,637,0.3726474278544542,0
119843,0.00013361389039967634,545,1093732567986130949,504,0.30275229357798167,0
1309,0.00013170969457439042,7075,14362404,7059,0.8271378091872792,2
147890,0.0001251399043353594,932,1316392732135501828,854,0.30364806866952787,0
91135,0.0001226550754144817,2530,784890784273215488,2525,0.7695652173913043,2
133193,0.0001152557106356834,533,1241112734390988800,379,0.24953095684803,0
54947,0.00011262578277497608,1457,899149856,1447,0.762525737817433,2
114595,0.00010893893269944252,808,1024775399736311808,734,0.32054455445544555,0
56157,0.00010463346948552816,1426,972909709,1404,0.7342215988779803,2
133061,0.00010350445746295,538,1240483656688377856,446,0.33271375464684017,0
140097,0.00010124660481469203,454,1274949581130944512,394,0.3832599118942731,0
113484,9.960463662940028e-05,551,1009466031922917379,396,0.2577132486388385,0
121523,9.419935624716203e-05,4222,1116213423266648064,4220,0.2818569398389389,0
14450,9.253888285336638e-05,4832,36934558,4830,0.7593129139072847,2
151277,8.954228766034539e-05,437,1329439752332959745,343,0.3180778032036613,0
128588,8.684579917306084e-05,895,1203183006820786176,812,0.32849162011173183,0
34541,8.630663254629541e-05,12610,255812611,12602,0.793655828707375,2
128967,8.402882898920534e-05,844,1206935907036794880,777,0.38981042654028436,0
124785,8.3002987728938e-05,418,1162759864939999237,333,0.3229665071770335,0
149116,7.553824493192832e-05,544,1322437781486858241,442,0.4099264705882353,0
123013,7.43577211803612e-05,578,1141352946623492100,450,0.23183391003460208,0
2471,7.368651897783034e-05,1872,15751676,1862,0.8595085470085471,2
145444,7.351570672343641e-05,423,1304532164063657984,284,0.2765957446808511,0
118334,7.313512523946833e-05,557,1076709293267783680,488,0.2495511669658887,0
110666,7.25826204946597e-05,1508,968639584480518144,1493,0.7824933687002652,2
150390,7.111260915426428e-05,559,1326277457192824832,444,0.33810375670840787,0
114694,7.075785207323853e-05,413,1026109618492198914,245,0.288135593220339,0
62674,7.060926130615353e-05,6074,1640929196,6072,0.7398748765228844,2
142156,6.998884631145227e-05,606,1286043203632680962,531,0.2607260726072607,0
